x,y,parameter
153.0,457.0,1.699936871425E9
153.0,447.0,1.699936871435E9
155.0,430.0,1.69993687144E9
159.0,419.0,1.699936871446E9
163.0,403.0,1.699936871453E9
167.0,395.0,1.69993687146E9
171.0,384.0,1.699936871468E9
177.0,371.0,1.6999368714750001E9
185.0,351.0,1.699936871483E9
194.0,326.0,1.699936871489E9
199.0,314.0,1.6999368714950001E9
205.0,299.0,1.699936871504E9
210.0,281.0,1.699936871511E9
217.0,263.0,1.6999368715180001E9
220.0,251.0,1.699936871526E9
225.0,243.0,1.699936871533E9
231.0,235.0,1.69993687154E9
237.0,224.0,1.699936871547E9
244.0,214.0,1.6999368715540001E9
249.0,205.0,1.699936871561E9
257.0,195.0,1.699936871568E9
261.0,193.0,1.699936871575E9
266.0,187.0,1.699936871583E9
271.0,184.0,1.6999368715900002E9
276.0,181.0,1.699936871598E9
283.0,179.0,1.699936871605E9
290.0,178.0,1.699936871612E9
296.0,178.0,1.6999368716200001E9
301.0,180.0,1.699936871627E9
309.0,182.0,1.699936871634E9
312.0,185.0,1.699936871641E9
318.0,191.0,1.699936871649E9
323.0,197.0,1.6999368716560001E9
329.0,205.0,1.699936871663E9
333.0,215.0,1.69993687167E9
336.0,224.0,1.699936871676E9
340.0,229.0,1.699936871683E9
343.0,237.0,1.6999368716890001E9
347.0,245.0,1.699936871697E9
356.0,259.0,1.699936871704E9
361.0,266.0,1.6999368717120001E9
367.0,277.0,1.69993687172E9
371.0,282.0,1.699936871727E9
377.0,287.0,1.6999368717350001E9
384.0,293.0,1.699936871739E9
387.0,297.0,1.6999368717480001E9
395.0,302.0,1.699936871755E9
399.0,307.0,1.699936871765E9
407.0,313.0,1.699936871772E9
416.0,320.0,1.699936871778E9
421.0,325.0,1.699936871785E9
429.0,330.0,1.6999368717910001E9
437.0,333.0,1.699936871799E9
443.0,338.0,1.699936871806E9
447.0,339.0,1.699936871813E9
451.0,342.0,1.699936871822E9
457.0,344.0,1.699936871828E9
465.0,345.0,1.699936871835E9
470.0,345.0,1.699936871844E9
477.0,345.0,1.699936871849E9
480.0,345.0,1.699936871855E9
488.0,343.0,1.699936871864E9
493.0,341.0,1.699936871871E9
496.0,339.0,1.699936871878E9
499.0,335.0,1.699936871886E9
503.0,333.0,1.699936871892E9
508.0,324.0,1.699936871899E9
515.0,318.0,1.6999368719060001E9
517.0,311.0,1.699936871914E9
523.0,303.0,1.69993687192E9
526.0,298.0,1.699936871927E9
529.0,289.0,1.699936871934E9
533.0,278.0,1.699936871941E9
535.0,265.0,1.699936871948E9
538.0,248.0,1.699936871955E9
539.0,237.0,1.699936871964E9
540.0,227.0,1.699936871971E9
540.0,210.0,1.699936871978E9
540.0,189.0,1.699936871986E9
541.0,174.0,1.699936871993E9
541.0,163.0,1.699936871999E9
543.0,150.0,1.699936872007E9
545.0,135.0,1.699936872014E9
546.0,125.0,1.6999368720210001E9
547.0,117.0,1.6999368720310001E9
547.0,113.0,1.699936872034E9
549.0,110.0,1.6999368720410001E9
550.0,109.0,1.699936872049E9
551.0,107.0,1.699936872058E9
