x,y,parameter
112.0,494.0,1.701144379946E9
110.0,491.0,1.701144379954E9
109.0,488.0,1.701144379961E9
108.0,485.0,1.701144379967E9
106.0,481.0,1.701144379974E9
105.0,479.0,1.701144379982E9
103.0,476.0,1.701144379989E9
101.0,473.0,1.7011443799950001E9
99.0,469.0,1.701144380003E9
96.0,466.0,1.70114438001E9
93.0,462.0,1.701144380017E9
89.0,456.0,1.701144380024E9
87.0,451.0,1.7011443800310001E9
84.0,447.0,1.701144380038E9
81.0,442.0,1.701144380045E9
79.0,437.0,1.701144380052E9
77.0,432.0,1.701144380059E9
75.0,426.0,1.701144380066E9
75.0,422.0,1.701144380073E9
73.0,416.0,1.701144380081E9
71.0,409.0,1.7011443800870001E9
69.0,402.0,1.701144380094E9
68.0,395.0,1.7011443801000001E9
66.0,389.0,1.701144380107E9
65.0,383.0,1.701144380115E9
64.0,378.0,1.701144380121E9
62.0,373.0,1.701144380129E9
62.0,371.0,1.701144380136E9
61.0,367.0,1.7011443801430001E9
61.0,363.0,1.70114438015E9
61.0,359.0,1.7011443801560001E9
61.0,354.0,1.701144380164E9
61.0,349.0,1.701144380171E9
61.0,344.0,1.701144380177E9
61.0,337.0,1.701144380185E9
61.0,332.0,1.7011443801920002E9
61.0,327.0,1.7011443802E9
61.0,321.0,1.701144380205E9
61.0,318.0,1.701144380213E9
61.0,315.0,1.70114438022E9
61.0,311.0,1.701144380227E9
61.0,309.0,1.701144380234E9
61.0,306.0,1.701144380242E9
61.0,304.0,1.7011443802480001E9
61.0,301.0,1.701144380254E9
61.0,299.0,1.701144380262E9
61.0,297.0,1.701144380269E9
62.0,293.0,1.701144380277E9
63.0,291.0,1.701144380283E9
64.0,287.0,1.70114438029E9
65.0,283.0,1.701144380297E9
67.0,279.0,1.701144380303E9
67.0,275.0,1.701144380311E9
69.0,272.0,1.7011443803170002E9
71.0,269.0,1.7011443803240001E9
71.0,265.0,1.701144380333E9
73.0,263.0,1.701144380339E9
73.0,261.0,1.701144380346E9
74.0,259.0,1.701144380353E9
75.0,257.0,1.701144380359E9
77.0,256.0,1.701144380367E9
79.0,255.0,1.7011443803730001E9
80.0,253.0,1.701144380381E9
81.0,251.0,1.701144380388E9
83.0,249.0,1.701144380394E9
86.0,247.0,1.701144380401E9
89.0,246.0,1.701144380407E9
91.0,244.0,1.7011443804160001E9
95.0,243.0,1.701144380423E9
99.0,241.0,1.70114438043E9
102.0,240.0,1.701144380437E9
105.0,239.0,1.701144380444E9
109.0,237.0,1.701144380451E9
112.0,236.0,1.701144380458E9
116.0,235.0,1.7011443804650002E9
119.0,234.0,1.701144380471E9
122.0,233.0,1.701144380479E9
125.0,233.0,1.701144380486E9
127.0,233.0,1.701144380493E9
130.0,232.0,1.7011443805E9
133.0,232.0,1.701144380507E9
135.0,232.0,1.701144380515E9
138.0,232.0,1.7011443805210001E9
140.0,232.0,1.701144380528E9
144.0,232.0,1.701144380535E9
147.0,234.0,1.7011443805410001E9
152.0,235.0,1.701144380548E9
156.0,237.0,1.7011443805540001E9
161.0,238.0,1.701144380562E9
167.0,240.0,1.70114438057E9
171.0,242.0,1.7011443805770001E9
176.0,245.0,1.701144380583E9
181.0,247.0,1.7011443805900002E9
184.0,250.0,1.7011443805970001E9
190.0,254.0,1.701144380604E9
195.0,258.0,1.701144380612E9
201.0,261.0,1.701144380618E9
205.0,265.0,1.701144380626E9
210.0,269.0,1.7011443806330001E9
216.0,274.0,1.701144380639E9
221.0,280.0,1.7011443806460001E9
227.0,286.0,1.701144380654E9
234.0,295.0,1.701144380661E9
242.0,303.0,1.701144380668E9
249.0,313.0,1.701144380675E9
255.0,323.0,1.701144380681E9
261.0,332.0,1.701144380688E9
265.0,339.0,1.701144380695E9
270.0,347.0,1.7011443807020001E9
273.0,351.0,1.70114438071E9
275.0,356.0,1.701144380717E9
277.0,361.0,1.701144380724E9
278.0,363.0,1.701144380731E9
278.0,367.0,1.701144380737E9
278.0,368.0,1.701144380744E9
278.0,369.0,1.701144380752E9
278.0,370.0,1.701144380759E9
278.0,372.0,1.701144380766E9
276.0,373.0,1.701144380772E9
274.0,374.0,1.7011443807810001E9
272.0,376.0,1.701144380787E9
268.0,377.0,1.7011443807940001E9
262.0,379.0,1.7011443808E9
256.0,381.0,1.701144380807E9
252.0,382.0,1.7011443808140001E9
247.0,383.0,1.701144380821E9
245.0,383.0,1.701144380828E9
241.0,383.0,1.701144380835E9
238.0,384.0,1.701144380842E9
236.0,384.0,1.701144380849E9
235.0,384.0,1.701144380855E9
233.0,384.0,1.701144380865E9
233.0,384.0,1.7011443808700001E9
230.0,384.0,1.701144380878E9
229.0,384.0,1.701144380885E9
227.0,384.0,1.701144380891E9
225.0,384.0,1.701144380899E9
224.0,383.0,1.701144380905E9
222.0,383.0,1.701144380912E9
221.0,381.0,1.7011443809190001E9
218.0,380.0,1.701144380926E9
217.0,379.0,1.701144380933E9
215.0,377.0,1.70114438094E9
212.0,375.0,1.701144380948E9
211.0,374.0,1.701144380955E9
209.0,372.0,1.7011443809620001E9
209.0,369.0,1.701144380969E9
207.0,368.0,1.701144380976E9
207.0,367.0,1.701144380982E9
206.0,367.0,1.701144380989E9
205.0,365.0,1.701144381003E9
205.0,364.0,1.70114438101E9
205.0,361.0,1.7011443810180001E9
205.0,359.0,1.701144381024E9
205.0,357.0,1.7011443810310001E9
205.0,353.0,1.701144381038E9
205.0,349.0,1.701144381045E9
205.0,346.0,1.701144381052E9
206.0,343.0,1.701144381059E9
207.0,339.0,1.7011443810670002E9
208.0,336.0,1.7011443810740001E9
209.0,333.0,1.70114438108E9
211.0,329.0,1.7011443810870001E9
212.0,325.0,1.701144381095E9
214.0,320.0,1.701144381103E9
217.0,317.0,1.701144381108E9
221.0,311.0,1.701144381116E9
223.0,306.0,1.701144381122E9
227.0,301.0,1.70114438113E9
230.0,297.0,1.701144381136E9
233.0,293.0,1.7011443811430001E9
237.0,289.0,1.701144381151E9
240.0,285.0,1.701144381158E9
244.0,281.0,1.701144381165E9
247.0,277.0,1.701144381172E9
250.0,275.0,1.7011443811790001E9
253.0,273.0,1.701144381185E9
257.0,270.0,1.7011443811920002E9
261.0,267.0,1.7011443812E9
265.0,265.0,1.701144381206E9
269.0,262.0,1.701144381213E9
273.0,259.0,1.701144381221E9
277.0,257.0,1.701144381228E9
280.0,256.0,1.7011443812350001E9
283.0,254.0,1.701144381241E9
285.0,253.0,1.7011443812480001E9
288.0,253.0,1.701144381255E9
289.0,252.0,1.701144381262E9
293.0,251.0,1.701144381269E9
295.0,251.0,1.701144381276E9
298.0,251.0,1.701144381283E9
300.0,250.0,1.701144381289E9
303.0,250.0,1.701144381297E9
307.0,250.0,1.701144381303E9
310.0,249.0,1.70114438131E9
313.0,249.0,1.701144381318E9
317.0,249.0,1.701144381325E9
320.0,249.0,1.701144381332E9
324.0,249.0,1.701144381339E9
327.0,250.0,1.701144381348E9
331.0,251.0,1.701144381353E9
335.0,251.0,1.7011443813600001E9
338.0,253.0,1.701144381367E9
340.0,253.0,1.7011443813730001E9
342.0,255.0,1.70114438138E9
345.0,256.0,1.701144381387E9
347.0,257.0,1.7011443813930001E9
349.0,259.0,1.701144381401E9
351.0,261.0,1.701144381408E9
352.0,262.0,1.701144381415E9
353.0,263.0,1.701144381423E9
355.0,265.0,1.7011443814290001E9
355.0,266.0,1.701144381436E9
357.0,267.0,1.701144381443E9
357.0,268.0,1.70114438145E9
357.0,269.0,1.701144381457E9
358.0,271.0,1.701144381464E9
358.0,273.0,1.701144381471E9
358.0,274.0,1.701144381478E9
358.0,275.0,1.701144381486E9
358.0,277.0,1.701144381492E9
358.0,278.0,1.701144381499E9
357.0,279.0,1.701144381507E9
357.0,281.0,1.701144381514E9
356.0,282.0,1.70114438152E9
355.0,283.0,1.701144381527E9
354.0,285.0,1.701144381534E9
353.0,287.0,1.7011443815410001E9
350.0,288.0,1.701144381549E9
348.0,290.0,1.701144381555E9
345.0,292.0,1.701144381563E9
341.0,293.0,1.70114438157E9
338.0,295.0,1.701144381576E9
336.0,296.0,1.701144381582E9
333.0,297.0,1.7011443815900002E9
331.0,297.0,1.701144381598E9
329.0,298.0,1.701144381605E9
325.0,298.0,1.701144381611E9
323.0,298.0,1.701144381618E9
321.0,298.0,1.701144381625E9
318.0,298.0,1.701144381632E9
316.0,298.0,1.701144381639E9
314.0,297.0,1.7011443816460001E9
311.0,297.0,1.701144381653E9
309.0,296.0,1.70114438166E9
308.0,295.0,1.701144381667E9
307.0,294.0,1.701144381674E9
305.0,293.0,1.701144381681E9
305.0,293.0,1.701144381688E9
304.0,292.0,1.701144381695E9
303.0,292.0,1.7011443817020001E9
303.0,291.0,1.701144381709E9
303.0,291.0,1.701144381717E9
303.0,289.0,1.701144381723E9
302.0,287.0,1.701144381729E9
302.0,283.0,1.701144381736E9
302.0,281.0,1.701144381744E9
302.0,277.0,1.701144381751E9
303.0,271.0,1.7011443817580001E9
303.0,265.0,1.701144381766E9
304.0,260.0,1.701144381772E9
305.0,255.0,1.701144381779E9
308.0,251.0,1.701144381787E9
309.0,247.0,1.7011443817940001E9
311.0,245.0,1.701144381801E9
313.0,243.0,1.701144381808E9
315.0,239.0,1.701144381815E9
317.0,237.0,1.701144381822E9
320.0,235.0,1.701144381828E9
322.0,233.0,1.701144381835E9
325.0,231.0,1.701144381842E9
327.0,228.0,1.701144381849E9
329.0,226.0,1.701144381856E9
333.0,223.0,1.701144381862E9
335.0,221.0,1.701144381869E9
336.0,219.0,1.701144381876E9
339.0,218.0,1.701144381884E9
341.0,217.0,1.701144381891E9
343.0,215.0,1.701144381898E9
345.0,213.0,1.701144381904E9
347.0,213.0,1.701144381911E9
349.0,212.0,1.70114438192E9
352.0,211.0,1.701144381926E9
354.0,211.0,1.701144381933E9
357.0,210.0,1.70114438194E9
360.0,209.0,1.701144381947E9
363.0,208.0,1.701144381954E9
365.0,208.0,1.701144381961E9
367.0,208.0,1.701144381968E9
371.0,208.0,1.7011443819750001E9
373.0,210.0,1.701144381983E9
376.0,211.0,1.70114438199E9
378.0,212.0,1.7011443819980001E9
381.0,213.0,1.701144382003E9
385.0,215.0,1.701144382011E9
387.0,217.0,1.7011443820180001E9
391.0,220.0,1.701144382024E9
393.0,223.0,1.7011443820310001E9
396.0,225.0,1.701144382038E9
399.0,227.0,1.701144382045E9
401.0,230.0,1.701144382052E9
403.0,232.0,1.70114438206E9
405.0,235.0,1.7011443820670002E9
408.0,238.0,1.7011443820740001E9
409.0,240.0,1.701144382081E9
411.0,243.0,1.7011443820870001E9
413.0,245.0,1.701144382094E9
414.0,247.0,1.701144382101E9
415.0,248.0,1.701144382109E9
415.0,249.0,1.701144382115E9
416.0,251.0,1.701144382121E9
417.0,253.0,1.701144382129E9
417.0,255.0,1.701144382135E9
417.0,256.0,1.701144382142E9
417.0,257.0,1.70114438215E9
417.0,259.0,1.701144382157E9
417.0,259.0,1.701144382171E9
417.0,260.0,1.7011443821790001E9
417.0,261.0,1.701144382185E9
417.0,261.0,1.701144382206E9
417.0,262.0,1.70114438222E9
417.0,262.0,1.701144382241E9
416.0,262.0,1.701144382247E9
415.0,262.0,1.701144382254E9
414.0,262.0,1.701144382262E9
413.0,262.0,1.701144382269E9
413.0,262.0,1.701144382276E9
412.0,262.0,1.701144382298E9
411.0,261.0,1.701144382305E9
411.0,261.0,1.701144382312E9
411.0,261.0,1.701144382326E9
410.0,261.0,1.701144382334E9
410.0,260.0,1.701144382339E9
410.0,259.0,1.701144382345E9
410.0,259.0,1.701144382353E9
410.0,256.0,1.701144382359E9
410.0,253.0,1.701144382367E9
411.0,250.0,1.701144382374E9
413.0,245.0,1.701144382382E9
413.0,243.0,1.701144382388E9
415.0,237.0,1.701144382397E9
419.0,231.0,1.701144382402E9
421.0,226.0,1.701144382409E9
423.0,221.0,1.701144382417E9
425.0,218.0,1.701144382423E9
427.0,215.0,1.701144382431E9
430.0,211.0,1.701144382438E9
433.0,207.0,1.701144382444E9
436.0,203.0,1.701144382451E9
439.0,199.0,1.701144382458E9
441.0,196.0,1.7011443824650002E9
444.0,193.0,1.701144382471E9
445.0,191.0,1.701144382479E9
448.0,189.0,1.701144382486E9
449.0,187.0,1.701144382493E9
451.0,186.0,1.7011443825E9
451.0,185.0,1.7011443825080001E9
453.0,184.0,1.701144382514E9
453.0,183.0,1.7011443825210001E9
454.0,183.0,1.701144382542E9
454.0,183.0,1.701144382556E9
