x,y,parameter
360.0,487.0,1.69993689482E9
361.0,485.0,1.699936894831E9
362.0,485.0,1.699936894835E9
363.0,483.0,1.699936894845E9
364.0,481.0,1.699936894855E9
366.0,479.0,1.699936894856E9
367.0,478.0,1.699936894864E9
368.0,477.0,1.699936894871E9
370.0,473.0,1.699936894878E9
371.0,471.0,1.6999368948930001E9
374.0,469.0,1.6999368949E9
375.0,467.0,1.6999368949060001E9
377.0,465.0,1.699936894913E9
379.0,463.0,1.699936894921E9
382.0,460.0,1.699936894928E9
383.0,457.0,1.699936894936E9
385.0,455.0,1.699936894941E9
387.0,453.0,1.6999368949490001E9
391.0,449.0,1.699936894956E9
393.0,447.0,1.699936894964E9
395.0,445.0,1.699936894971E9
400.0,441.0,1.699936894978E9
402.0,438.0,1.699936894986E9
405.0,436.0,1.699936894991E9
408.0,433.0,1.699936894999E9
411.0,431.0,1.699936895006E9
412.0,429.0,1.699936895013E9
415.0,428.0,1.6999368950210001E9
418.0,423.0,1.699936895028E9
420.0,421.0,1.699936895035E9
425.0,415.0,1.699936895043E9
429.0,411.0,1.699936895049E9
435.0,407.0,1.699936895056E9
441.0,400.0,1.699936895063E9
447.0,395.0,1.69993689507E9
455.0,389.0,1.6999368950770001E9
459.0,385.0,1.699936895084E9
465.0,381.0,1.699936895093E9
469.0,379.0,1.699936895099E9
471.0,377.0,1.699936895106E9
476.0,373.0,1.6999368951130002E9
481.0,369.0,1.699936895121E9
484.0,367.0,1.699936895127E9
487.0,363.0,1.699936895134E9
493.0,359.0,1.699936895141E9
497.0,354.0,1.699936895148E9
502.0,351.0,1.6999368951560001E9
506.0,347.0,1.699936895163E9
511.0,345.0,1.69993689517E9
513.0,343.0,1.699936895178E9
515.0,339.0,1.699936895186E9
519.0,337.0,1.6999368951920002E9
520.0,336.0,1.699936895203E9
521.0,335.0,1.699936895207E9
523.0,334.0,1.6999368952150002E9
523.0,331.0,1.699936895221E9
526.0,331.0,1.69993689523E9
527.0,329.0,1.699936895236E9
528.0,329.0,1.699936895244E9
529.0,328.0,1.699936895252E9
529.0,327.0,1.699936895257E9
531.0,327.0,1.6999368952710001E9
531.0,325.0,1.699936895287E9
533.0,325.0,1.6999368952940001E9
533.0,325.0,1.699936895308E9
534.0,325.0,1.699936895329E9
534.0,324.0,1.699936895343E9
535.0,324.0,1.699936895358E9
535.0,323.0,1.699936895387E9
535.0,323.0,1.6999368953930001E9
