x,y,parameter
151.0,441.0,1.699936881186E9
151.0,435.0,1.699936881195E9
151.0,433.0,1.6999368812020001E9
152.0,430.0,1.699936881209E9
153.0,425.0,1.6999368812150002E9
153.0,423.0,1.699936881223E9
155.0,418.0,1.69993688123E9
155.0,413.0,1.6999368812380002E9
157.0,404.0,1.699936881249E9
161.0,393.0,1.699936881255E9
163.0,384.0,1.699936881262E9
165.0,374.0,1.699936881266E9
166.0,367.0,1.699936881274E9
169.0,363.0,1.6999368812810001E9
173.0,355.0,1.699936881288E9
178.0,345.0,1.699936881296E9
184.0,337.0,1.699936881303E9
188.0,327.0,1.69993688131E9
193.0,320.0,1.6999368813170002E9
197.0,313.0,1.6999368813240001E9
199.0,308.0,1.699936881331E9
201.0,307.0,1.699936881341E9
204.0,303.0,1.699936881345E9
205.0,302.0,1.699936881353E9
207.0,301.0,1.6999368813600001E9
208.0,299.0,1.699936881368E9
211.0,297.0,1.6999368813730001E9
212.0,297.0,1.699936881381E9
213.0,295.0,1.699936881388E9
214.0,295.0,1.6999368813960001E9
215.0,295.0,1.699936881403E9
217.0,294.0,1.699936881409E9
219.0,294.0,1.699936881417E9
220.0,294.0,1.699936881423E9
222.0,294.0,1.699936881432E9
224.0,295.0,1.6999368814390001E9
227.0,297.0,1.699936881446E9
229.0,299.0,1.699936881453E9
232.0,301.0,1.69993688146E9
235.0,303.0,1.699936881468E9
239.0,309.0,1.699936881473E9
245.0,316.0,1.699936881483E9
248.0,323.0,1.699936881489E9
253.0,332.0,1.6999368814980001E9
257.0,341.0,1.699936881503E9
261.0,344.0,1.699936881512E9
264.0,351.0,1.6999368815180001E9
267.0,356.0,1.699936881523E9
271.0,361.0,1.6999368815310001E9
274.0,367.0,1.699936881539E9
278.0,374.0,1.699936881547E9
283.0,383.0,1.699936881553E9
286.0,387.0,1.699936881561E9
293.0,395.0,1.699936881566E9
295.0,397.0,1.6999368815740001E9
299.0,402.0,1.699936881581E9
305.0,406.0,1.699936881589E9
308.0,408.0,1.699936881596E9
314.0,412.0,1.699936881602E9
316.0,414.0,1.699936881611E9
319.0,415.0,1.699936881617E9
322.0,416.0,1.699936881625E9
325.0,419.0,1.699936881634E9
328.0,419.0,1.699936881639E9
329.0,419.0,1.699936881647E9
331.0,420.0,1.699936881651E9
335.0,420.0,1.69993688166E9
337.0,420.0,1.699936881665E9
339.0,419.0,1.699936881675E9
341.0,418.0,1.699936881681E9
343.0,417.0,1.699936881687E9
345.0,415.0,1.699936881696E9
348.0,414.0,1.699936881703E9
351.0,413.0,1.699936881711E9
354.0,408.0,1.699936881717E9
357.0,403.0,1.6999368817250001E9
362.0,393.0,1.699936881731E9
364.0,387.0,1.6999368817380002E9
366.0,379.0,1.6999368817450001E9
368.0,371.0,1.699936881752E9
371.0,361.0,1.69993688176E9
373.0,352.0,1.699936881765E9
376.0,341.0,1.699936881773E9
378.0,329.0,1.69993688178E9
381.0,315.0,1.699936881788E9
383.0,305.0,1.699936881795E9
386.0,294.0,1.6999368818040001E9
388.0,283.0,1.699936881811E9
393.0,267.0,1.699936881818E9
395.0,255.0,1.699936881825E9
398.0,245.0,1.699936881832E9
403.0,237.0,1.699936881839E9
408.0,229.0,1.6999368818470001E9
411.0,221.0,1.699936881853E9
416.0,217.0,1.699936881861E9
421.0,209.0,1.699936881866E9
425.0,204.0,1.6999368818730001E9
429.0,199.0,1.699936881882E9
431.0,195.0,1.699936881888E9
436.0,191.0,1.699936881897E9
439.0,189.0,1.699936881904E9
443.0,184.0,1.699936881911E9
445.0,183.0,1.699936881918E9
446.0,180.0,1.699936881925E9
447.0,178.0,1.699936881932E9
451.0,176.0,1.6999368819390001E9
452.0,175.0,1.699936881948E9
453.0,174.0,1.699936881953E9
455.0,173.0,1.6999368819620001E9
457.0,172.0,1.699936881968E9
459.0,171.0,1.6999368819750001E9
460.0,169.0,1.699936881982E9
461.0,169.0,1.699936881989E9
463.0,168.0,1.6999368819980001E9
464.0,167.0,1.699936882004E9
465.0,167.0,1.699936882011E9
