x,y,parameter
129.0,494.0,1.6993339359980001E9
116.0,485.0,1.699333936005E9
107.0,475.0,1.699333936012E9
101.0,466.0,1.699333936019E9
95.0,456.0,1.699333936027E9
92.0,443.0,1.699333936033E9
89.0,429.0,1.69933393604E9
88.0,415.0,1.699333936047E9
90.0,399.0,1.6993339360540001E9
92.0,385.0,1.699333936062E9
97.0,371.0,1.699333936068E9
103.0,360.0,1.699333936075E9
107.0,349.0,1.699333936082E9
112.0,341.0,1.699333936089E9
116.0,335.0,1.6993339360970001E9
120.0,332.0,1.699333936103E9
122.0,331.0,1.699333936111E9
124.0,330.0,1.699333936118E9
127.0,329.0,1.699333936125E9
129.0,329.0,1.6993339361330001E9
131.0,329.0,1.699333936139E9
135.0,331.0,1.699333936148E9
139.0,333.0,1.699333936153E9
145.0,339.0,1.69933393616E9
147.0,344.0,1.6993339361690001E9
150.0,350.0,1.699333936174E9
152.0,356.0,1.699333936182E9
153.0,360.0,1.699333936188E9
153.0,365.0,1.699333936195E9
152.0,368.0,1.699333936203E9
151.0,370.0,1.699333936209E9
148.0,373.0,1.699333936219E9
143.0,376.0,1.699333936224E9
138.0,378.0,1.699333936231E9
133.0,379.0,1.6993339362380002E9
129.0,379.0,1.6993339362450001E9
123.0,378.0,1.699333936252E9
117.0,375.0,1.699333936259E9
113.0,372.0,1.6993339362680001E9
107.0,367.0,1.699333936273E9
103.0,362.0,1.69933393628E9
99.0,355.0,1.699333936288E9
95.0,346.0,1.6993339362940001E9
92.0,337.0,1.699333936301E9
92.0,326.0,1.699333936308E9
95.0,313.0,1.699333936316E9
100.0,295.0,1.699333936322E9
108.0,279.0,1.699333936329E9
115.0,269.0,1.699333936335E9
120.0,260.0,1.699333936342E9
123.0,255.0,1.6993339363500001E9
127.0,251.0,1.699333936357E9
131.0,250.0,1.699333936364E9
134.0,248.0,1.699333936371E9
136.0,247.0,1.699333936378E9
140.0,247.0,1.699333936385E9
143.0,247.0,1.699333936392E9
146.0,247.0,1.699333936399E9
149.0,249.0,1.699333936408E9
151.0,251.0,1.699333936413E9
153.0,255.0,1.699333936421E9
154.0,257.0,1.699333936427E9
154.0,261.0,1.699333936434E9
154.0,263.0,1.699333936441E9
153.0,265.0,1.699333936448E9
152.0,267.0,1.699333936455E9
149.0,269.0,1.6993339364620001E9
147.0,270.0,1.69933393647E9
142.0,271.0,1.699333936477E9
139.0,273.0,1.6993339364850001E9
136.0,273.0,1.69933393649E9
