x,y,parameter
17.0,38.0,1.699333958727E9
17.0,39.0,1.699333958734E9
19.0,41.0,1.699333958741E9
21.0,42.0,1.6993339587480001E9
22.0,43.0,1.699333958755E9
24.0,45.0,1.699333958762E9
26.0,47.0,1.699333958769E9
29.0,49.0,1.699333958777E9
33.0,51.0,1.699333958784E9
37.0,53.0,1.6993339587910001E9
42.0,55.0,1.699333958798E9
48.0,58.0,1.699333958805E9
53.0,61.0,1.69933395881E9
57.0,63.0,1.699333958818E9
62.0,65.0,1.699333958825E9
67.0,67.0,1.699333958832E9
72.0,69.0,1.699333958839E9
77.0,71.0,1.699333958848E9
81.0,73.0,1.699333958854E9
85.0,75.0,1.6993339588600001E9
91.0,77.0,1.699333958868E9
95.0,80.0,1.699333958874E9
100.0,83.0,1.699333958881E9
105.0,87.0,1.699333958889E9
109.0,90.0,1.6993339588960001E9
114.0,93.0,1.699333958903E9
120.0,97.0,1.699333958909E9
125.0,100.0,1.6993339589190001E9
128.0,104.0,1.699333958924E9
132.0,107.0,1.699333958931E9
135.0,110.0,1.699333958938E9
139.0,113.0,1.699333958945E9
143.0,115.0,1.6993339589520001E9
146.0,118.0,1.699333958959E9
149.0,121.0,1.69933395897E9
154.0,123.0,1.699333958973E9
157.0,124.0,1.69933395898E9
161.0,126.0,1.699333958987E9
165.0,127.0,1.699333958994E9
169.0,129.0,1.699333959001E9
174.0,130.0,1.699333959009E9
177.0,132.0,1.699333959015E9
180.0,133.0,1.699333959022E9
183.0,133.0,1.699333959029E9
185.0,134.0,1.699333959038E9
187.0,135.0,1.699333959042E9
188.0,135.0,1.699333959049E9
190.0,135.0,1.699333959057E9
191.0,136.0,1.6993339590640001E9
194.0,137.0,1.699333959071E9
196.0,138.0,1.699333959078E9
198.0,139.0,1.699333959085E9
201.0,140.0,1.699333959092E9
203.0,141.0,1.6993339591000001E9
206.0,142.0,1.699333959107E9
208.0,143.0,1.6993339591130002E9
211.0,145.0,1.699333959121E9
215.0,147.0,1.699333959127E9
221.0,150.0,1.699333959134E9
225.0,153.0,1.699333959142E9
231.0,156.0,1.699333959148E9
237.0,159.0,1.6993339591560001E9
242.0,161.0,1.699333959162E9
247.0,163.0,1.6993339591690001E9
252.0,166.0,1.699333959177E9
257.0,168.0,1.699333959183E9
260.0,170.0,1.69933395919E9
265.0,171.0,1.699333959198E9
269.0,173.0,1.699333959204E9
273.0,175.0,1.699333959211E9
278.0,177.0,1.699333959219E9
283.0,178.0,1.6993339592250001E9
287.0,179.0,1.699333959232E9
292.0,179.0,1.699333959239E9
297.0,181.0,1.699333959247E9
303.0,183.0,1.699333959254E9
307.0,183.0,1.699333959261E9
313.0,185.0,1.69933395927E9
318.0,187.0,1.699333959275E9
323.0,190.0,1.699333959282E9
327.0,192.0,1.699333959288E9
332.0,193.0,1.699333959297E9
337.0,195.0,1.699333959302E9
341.0,198.0,1.699333959309E9
345.0,201.0,1.699333959318E9
349.0,203.0,1.6993339593240001E9
354.0,206.0,1.69933395933E9
357.0,209.0,1.699333959338E9
361.0,213.0,1.699333959344E9
365.0,215.0,1.699333959352E9
369.0,218.0,1.699333959358E9
373.0,221.0,1.699333959366E9
377.0,225.0,1.699333959374E9
380.0,229.0,1.699333959379E9
385.0,234.0,1.699333959388E9
390.0,239.0,1.699333959394E9
395.0,245.0,1.699333959401E9
400.0,251.0,1.699333959409E9
407.0,258.0,1.6993339594160001E9
413.0,265.0,1.699333959422E9
417.0,269.0,1.699333959428E9
