x,y,parameter
105.0,436.0,1.699333769127E9
99.0,399.0,1.699333769134E9
89.0,361.0,1.699333769142E9
83.0,332.0,1.699333769147E9
78.0,301.0,1.699333769155E9
75.0,269.0,1.699333769162E9
75.0,237.0,1.69933376917E9
76.0,201.0,1.699333769177E9
85.0,158.0,1.699333769184E9
94.0,123.0,1.699333769191E9
108.0,90.0,1.699333769198E9
121.0,61.0,1.699333769205E9
135.0,39.0,1.699333769213E9
146.0,27.0,1.699333769218E9
155.0,21.0,1.6993337692250001E9
165.0,16.0,1.699333769232E9
175.0,14.0,1.69933376924E9
185.0,15.0,1.6993337692480001E9
197.0,19.0,1.699333769253E9
212.0,27.0,1.69933376926E9
226.0,43.0,1.699333769267E9
240.0,65.0,1.699333769274E9
249.0,87.0,1.699333769284E9
253.0,108.0,1.699333769289E9
255.0,128.0,1.699333769297E9
253.0,151.0,1.699333769303E9
249.0,171.0,1.69933376931E9
240.0,197.0,1.699333769318E9
227.0,221.0,1.6993337693240001E9
211.0,245.0,1.699333769331E9
193.0,263.0,1.699333769338E9
176.0,276.0,1.699333769345E9
158.0,285.0,1.699333769353E9
145.0,290.0,1.699333769359E9
136.0,292.0,1.699333769368E9
128.0,292.0,1.6993337693730001E9
121.0,288.0,1.69933376938E9
115.0,278.0,1.699333769389E9
111.0,261.0,1.699333769394E9
112.0,227.0,1.699333769401E9
124.0,182.0,1.699333769407E9
142.0,130.0,1.699333769415E9
166.0,77.0,1.699333769424E9
195.0,27.0,1.6993337694290001E9
227.0,-19.0,1.699333769438E9
257.0,-30.0,1.699333769443E9
283.0,-30.0,1.69933376945E9
304.0,-30.0,1.699333769457E9
319.0,-30.0,1.6993337694650002E9
332.0,-30.0,1.699333769471E9
343.0,-25.0,1.699333769478E9
353.0,-15.0,1.6993337694850001E9
361.0,-1.0,1.699333769493E9
365.0,23.0,1.6993337695E9
367.0,53.0,1.6993337695080001E9
364.0,87.0,1.699333769513E9
355.0,125.0,1.69933376952E9
344.0,163.0,1.699333769528E9
327.0,199.0,1.699333769535E9
309.0,229.0,1.699333769542E9
288.0,254.0,1.699333769549E9
273.0,266.0,1.699333769557E9
263.0,273.0,1.699333769563E9
255.0,274.0,1.69933376957E9
249.0,270.0,1.6993337695770001E9
245.0,258.0,1.699333769584E9
243.0,239.0,1.699333769591E9
249.0,202.0,1.699333769598E9
265.0,153.0,1.699333769606E9
289.0,101.0,1.699333769611E9
317.0,49.0,1.699333769619E9
347.0,9.0,1.699333769625E9
371.0,-17.0,1.6993337696330001E9
393.0,-30.0,1.69933376964E9
409.0,-30.0,1.699333769648E9
423.0,-30.0,1.699333769655E9
434.0,-27.0,1.699333769661E9
443.0,-20.0,1.699333769668E9
450.0,-5.0,1.699333769676E9
456.0,19.0,1.699333769682E9
456.0,49.0,1.6993337696890001E9
453.0,85.0,1.699333769696E9
446.0,125.0,1.699333769703E9
435.0,165.0,1.69933376971E9
420.0,204.0,1.699333769719E9
404.0,241.0,1.699333769724E9
389.0,269.0,1.699333769731E9
374.0,293.0,1.699333769737E9
363.0,306.0,1.6993337697450001E9
353.0,315.0,1.699333769752E9
