x,y,parameter
123.0,457.0,1.699330495566E9
137.0,394.0,1.699330495594E9
138.0,383.0,1.6993304956000001E9
139.0,377.0,1.699330495608E9
140.0,371.0,1.699330495615E9
140.0,365.0,1.699330495622E9
140.0,361.0,1.699330495628E9
140.0,357.0,1.699330495636E9
141.0,353.0,1.6993304956430001E9
142.0,346.0,1.69933049565E9
143.0,339.0,1.699330495658E9
145.0,329.0,1.699330495664E9
147.0,321.0,1.699330495671E9
151.0,310.0,1.699330495677E9
155.0,298.0,1.699330495684E9
158.0,289.0,1.699330495691E9
160.0,281.0,1.699330495698E9
161.0,276.0,1.699330495705E9
162.0,271.0,1.6993304957120001E9
163.0,269.0,1.699330495719E9
163.0,266.0,1.699330495727E9
163.0,264.0,1.699330495733E9
164.0,262.0,1.69933049574E9
164.0,261.0,1.699330495747E9
165.0,258.0,1.699330495754E9
165.0,256.0,1.699330495761E9
165.0,254.0,1.6993304957680001E9
165.0,252.0,1.699330495775E9
167.0,249.0,1.6993304957810001E9
168.0,247.0,1.699330495788E9
169.0,243.0,1.699330495795E9
170.0,240.0,1.699330495803E9
172.0,237.0,1.69933049581E9
173.0,234.0,1.6993304958170002E9
174.0,231.0,1.699330495825E9
175.0,229.0,1.699330495831E9
176.0,228.0,1.699330495839E9
176.0,227.0,1.6993304958470001E9
177.0,227.0,1.699330495853E9
177.0,226.0,1.699330495867E9
177.0,225.0,1.699330495881E9
177.0,225.0,1.699330495902E9
177.0,225.0,1.699330495917E9
178.0,224.0,1.69933049593E9
179.0,223.0,1.699330495938E9
181.0,221.0,1.699330495944E9
183.0,219.0,1.699330495951E9
185.0,217.0,1.699330495958E9
186.0,215.0,1.6993304959650002E9
188.0,212.0,1.699330495973E9
189.0,211.0,1.699330495979E9
190.0,210.0,1.699330495987E9
190.0,209.0,1.699330495992E9
190.0,209.0,1.699330496001E9
191.0,208.0,1.699330496009E9
191.0,208.0,1.6993304960210001E9
192.0,207.0,1.699330496043E9
193.0,207.0,1.699330496058E9
193.0,207.0,1.699330496062E9
194.0,205.0,1.69933049607E9
196.0,205.0,1.6993304960770001E9
198.0,203.0,1.699330496084E9
199.0,202.0,1.6993304960900002E9
202.0,200.0,1.699330496098E9
