x,y,parameter
143.0,321.0,1.699333694358E9
139.0,315.0,1.699333694364E9
138.0,309.0,1.699333694371E9
137.0,305.0,1.699333694379E9
135.0,300.0,1.699333694386E9
133.0,295.0,1.6993336943930001E9
133.0,293.0,1.6993336944E9
132.0,291.0,1.699333694407E9
130.0,289.0,1.699333694413E9
130.0,288.0,1.699333694428E9
129.0,287.0,1.699333694435E9
129.0,287.0,1.699333694441E9
129.0,286.0,1.6993336944490001E9
128.0,286.0,1.699333694456E9
127.0,285.0,1.699333694471E9
127.0,284.0,1.699333694478E9
126.0,283.0,1.699333694484E9
125.0,281.0,1.699333694491E9
125.0,279.0,1.6993336944980001E9
124.0,277.0,1.699333694504E9
123.0,275.0,1.699333694512E9
123.0,274.0,1.699333694519E9
123.0,271.0,1.699333694526E9
122.0,270.0,1.699333694533E9
121.0,269.0,1.69933369454E9
121.0,269.0,1.699333694555E9
121.0,268.0,1.699333694562E9
120.0,267.0,1.699333694568E9
119.0,267.0,1.699333694582E9
119.0,267.0,1.699333694589E9
119.0,266.0,1.699333694604E9
119.0,265.0,1.699333694611E9
119.0,265.0,1.699333694618E9
119.0,264.0,1.699333694624E9
119.0,261.0,1.699333694632E9
119.0,258.0,1.699333694638E9
119.0,255.0,1.6993336946460001E9
119.0,251.0,1.699333694653E9
119.0,248.0,1.69933369466E9
119.0,245.0,1.699333694667E9
119.0,242.0,1.699333694674E9
119.0,239.0,1.69933369468E9
119.0,237.0,1.699333694688E9
118.0,235.0,1.699333694694E9
118.0,234.0,1.699333694701E9
118.0,233.0,1.699333694709E9
117.0,233.0,1.6993336947150002E9
117.0,232.0,1.699333694723E9
117.0,231.0,1.69933369473E9
116.0,231.0,1.699333694744E9
115.0,230.0,1.699333694764E9
115.0,229.0,1.699333694772E9
115.0,227.0,1.699333694779E9
115.0,226.0,1.699333694788E9
115.0,223.0,1.699333694793E9
115.0,220.0,1.6993336948E9
115.0,217.0,1.699333694808E9
115.0,214.0,1.699333694815E9
115.0,211.0,1.699333694821E9
115.0,209.0,1.699333694828E9
115.0,207.0,1.699333694835E9
115.0,205.0,1.699333694842E9
115.0,204.0,1.6993336948500001E9
115.0,203.0,1.699333694857E9
115.0,203.0,1.699333694871E9
115.0,202.0,1.699333694879E9
115.0,201.0,1.699333694884E9
115.0,201.0,1.699333694891E9
115.0,200.0,1.69933369492E9
115.0,199.0,1.699333694928E9
115.0,198.0,1.699333694933E9
117.0,196.0,1.6993336949420002E9
118.0,191.0,1.6993336949490001E9
119.0,189.0,1.699333694955E9
121.0,184.0,1.699333694961E9
123.0,179.0,1.699333694969E9
123.0,174.0,1.699333694979E9
125.0,168.0,1.699333694983E9
127.0,163.0,1.69933369499E9
128.0,161.0,1.699333694996E9
129.0,159.0,1.699333695003E9
129.0,158.0,1.69933369501E9
129.0,157.0,1.699333695017E9
129.0,156.0,1.699333695024E9
129.0,155.0,1.699333695045E9
129.0,155.0,1.69933369506E9
129.0,154.0,1.69933369508E9
130.0,154.0,1.699333695159E9
131.0,153.0,1.699333695165E9
133.0,150.0,1.699333695172E9
135.0,147.0,1.6993336951790001E9
137.0,143.0,1.699333695187E9
139.0,142.0,1.699333695193E9
139.0,141.0,1.6993336952E9
139.0,140.0,1.699333695208E9
139.0,139.0,1.6993336952150002E9
140.0,139.0,1.6993336952220001E9
141.0,139.0,1.699333695243E9
141.0,138.0,1.699333695257E9
141.0,138.0,1.69933369527E9
141.0,137.0,1.699333695277E9
142.0,137.0,1.699333695285E9
143.0,137.0,1.699333695292E9
145.0,135.0,1.699333695298E9
146.0,134.0,1.699333695306E9
147.0,133.0,1.699333695312E9
147.0,133.0,1.699333695319E9
148.0,132.0,1.6993336953270001E9
148.0,131.0,1.699333695333E9
149.0,131.0,1.6993336953470001E9
149.0,131.0,1.699333695353E9
149.0,131.0,1.699333695361E9
149.0,130.0,1.699333695368E9
150.0,130.0,1.699333695375E9
151.0,130.0,1.69933369539E9
152.0,129.0,1.699333695397E9
153.0,129.0,1.699333695404E9
153.0,128.0,1.69933369541E9
153.0,128.0,1.699333695417E9
154.0,127.0,1.699333695424E9
155.0,127.0,1.699333695431E9
155.0,127.0,1.699333695438E9
156.0,127.0,1.699333695445E9
156.0,126.0,1.6993336954520001E9
157.0,126.0,1.699333695467E9
157.0,126.0,1.699333695481E9
158.0,125.0,1.6993336954880002E9
159.0,125.0,1.6993336954950001E9
160.0,125.0,1.699333695502E9
161.0,125.0,1.69933369551E9
161.0,125.0,1.699333695517E9
163.0,124.0,1.699333695522E9
164.0,123.0,1.6993336955310001E9
166.0,123.0,1.699333695537E9
167.0,122.0,1.699333695552E9
169.0,121.0,1.699333695558E9
171.0,121.0,1.699333695565E9
172.0,121.0,1.699333695572E9
175.0,120.0,1.699333695579E9
175.0,120.0,1.6993336955870001E9
175.0,119.0,1.699333695593E9
176.0,119.0,1.6993336956000001E9
177.0,119.0,1.699333695607E9
177.0,119.0,1.699333695614E9
178.0,119.0,1.699333695621E9
179.0,119.0,1.699333695629E9
180.0,119.0,1.6993336956430001E9
181.0,119.0,1.69933369565E9
182.0,118.0,1.699333695658E9
183.0,118.0,1.699333695664E9
183.0,118.0,1.69933369567E9
185.0,118.0,1.699333695678E9
185.0,118.0,1.699333695684E9
189.0,117.0,1.699333695691E9
191.0,117.0,1.699333695698E9
194.0,117.0,1.699333695705E9
195.0,117.0,1.699333695713E9
196.0,117.0,1.69933369572E9
197.0,117.0,1.699333695727E9
197.0,117.0,1.699333695733E9
198.0,117.0,1.69933369574E9
199.0,117.0,1.699333695747E9
199.0,117.0,1.699333695755E9
