x,y,parameter
160.0,435.0,1.699332964082E9
153.0,425.0,1.699332964089E9
147.0,415.0,1.699332964096E9
141.0,405.0,1.699332964103E9
136.0,397.0,1.6993329641100001E9
132.0,391.0,1.699332964118E9
129.0,383.0,1.699332964124E9
126.0,377.0,1.699332964131E9
122.0,371.0,1.699332964138E9
119.0,365.0,1.699332964145E9
116.0,361.0,1.699332964152E9
113.0,356.0,1.699332964159E9
111.0,351.0,1.699332964168E9
108.0,347.0,1.699332964173E9
105.0,341.0,1.69933296418E9
103.0,334.0,1.699332964187E9
100.0,329.0,1.699332964194E9
98.0,323.0,1.699332964201E9
96.0,319.0,1.699332964208E9
95.0,315.0,1.6993329642150002E9
94.0,313.0,1.699332964223E9
93.0,312.0,1.69933296423E9
93.0,311.0,1.699332964237E9
91.0,309.0,1.699332964243E9
89.0,305.0,1.69933296425E9
88.0,302.0,1.6993329642580001E9
85.0,296.0,1.699332964264E9
83.0,290.0,1.6993329642710001E9
80.0,283.0,1.699332964279E9
77.0,277.0,1.699332964286E9
75.0,271.0,1.699332964292E9
73.0,265.0,1.6993329643E9
70.0,261.0,1.699332964307E9
69.0,257.0,1.6993329643140001E9
67.0,253.0,1.699332964321E9
65.0,250.0,1.699332964328E9
65.0,247.0,1.699332964335E9
64.0,246.0,1.699332964342E9
63.0,245.0,1.699332964349E9
63.0,244.0,1.6993329643630002E9
63.0,242.0,1.6993329643700001E9
63.0,241.0,1.699332964378E9
62.0,239.0,1.6993329643830001E9
62.0,238.0,1.69933296439E9
62.0,237.0,1.699332964404E9
62.0,236.0,1.699332964411E9
62.0,234.0,1.6993329644190001E9
62.0,230.0,1.699332964426E9
63.0,225.0,1.699332964433E9
63.0,223.0,1.69933296444E9
64.0,220.0,1.699332964447E9
64.0,219.0,1.699332964454E9
64.0,218.0,1.699332964468E9
64.0,217.0,1.6993329644750001E9
64.0,217.0,1.6993329644880002E9
64.0,216.0,1.699332964503E9
65.0,215.0,1.699332964524E9
65.0,215.0,1.6993329645310001E9
66.0,214.0,1.699332964538E9
68.0,211.0,1.699332964545E9
69.0,207.0,1.699332964552E9
70.0,205.0,1.69933296456E9
72.0,202.0,1.699332964568E9
74.0,199.0,1.699332964573E9
79.0,191.0,1.69933296458E9
85.0,180.0,1.6993329645870001E9
91.0,171.0,1.699332964594E9
97.0,163.0,1.699332964601E9
99.0,159.0,1.699332964608E9
100.0,158.0,1.699332964615E9
101.0,157.0,1.699332964621E9
101.0,157.0,1.699332964629E9
101.0,157.0,1.699332964637E9
102.0,157.0,1.69933296465E9
103.0,157.0,1.699332964665E9
103.0,157.0,1.699332964685E9
104.0,156.0,1.6993329646920002E9
105.0,156.0,1.6993329646990001E9
107.0,155.0,1.699332964706E9
109.0,154.0,1.699332964713E9
109.0,153.0,1.69933296472E9
109.0,153.0,1.69933296473E9
110.0,153.0,1.6993329647350001E9
110.0,152.0,1.699332964742E9
112.0,151.0,1.6993329647480001E9
115.0,150.0,1.699332964755E9
117.0,149.0,1.699332964762E9
120.0,147.0,1.69933296477E9
121.0,147.0,1.699332964778E9
121.0,147.0,1.699332964784E9
121.0,146.0,1.6993329647910001E9
122.0,145.0,1.6993329648040001E9
123.0,145.0,1.699332964812E9
123.0,145.0,1.699332964819E9
125.0,145.0,1.699332964825E9
125.0,145.0,1.699332964833E9
125.0,144.0,1.6993329648400002E9
127.0,144.0,1.699332964849E9
127.0,144.0,1.699332964861E9
128.0,144.0,1.699332964867E9
129.0,144.0,1.699332964874E9
130.0,143.0,1.699332964882E9
131.0,143.0,1.699332964888E9
131.0,143.0,1.699332964902E9
133.0,143.0,1.69933296491E9
133.0,143.0,1.6993329649190001E9
134.0,143.0,1.699332964923E9
135.0,143.0,1.699332964931E9
137.0,143.0,1.699332964946E9
138.0,143.0,1.699332964953E9
139.0,143.0,1.699332964959E9
141.0,143.0,1.699332964966E9
142.0,143.0,1.699332964973E9
144.0,143.0,1.69933296498E9
145.0,143.0,1.6993329649880002E9
147.0,143.0,1.699332964993E9
149.0,143.0,1.699332965001E9
151.0,143.0,1.6993329650080001E9
152.0,143.0,1.699332965015E9
153.0,143.0,1.6993329650210001E9
155.0,143.0,1.699332965029E9
157.0,143.0,1.699332965035E9
159.0,143.0,1.699332965042E9
161.0,143.0,1.69933296505E9
163.0,143.0,1.699332965058E9
165.0,143.0,1.6993329650640001E9
166.0,143.0,1.69933296507E9
167.0,143.0,1.69933296508E9
168.0,143.0,1.699332965092E9
169.0,143.0,1.6993329651000001E9
170.0,143.0,1.699332965106E9
171.0,143.0,1.6993329651130002E9
171.0,143.0,1.6993329651200001E9
173.0,143.0,1.699332965129E9
173.0,143.0,1.699332965141E9
175.0,144.0,1.699332965148E9
176.0,144.0,1.6993329651560001E9
177.0,144.0,1.699332965163E9
178.0,144.0,1.69933296517E9
179.0,144.0,1.6993329651790001E9
180.0,145.0,1.699332965184E9
181.0,145.0,1.69933296519E9
182.0,145.0,1.699332965198E9
183.0,145.0,1.699332965204E9
183.0,145.0,1.699332965211E9
185.0,146.0,1.699332965219E9
185.0,146.0,1.699332965226E9
186.0,147.0,1.699332965239E9
187.0,147.0,1.6993329652480001E9
187.0,147.0,1.699332965253E9
188.0,147.0,1.69933296526E9
189.0,148.0,1.699332965267E9
190.0,148.0,1.699332965274E9
191.0,148.0,1.699332965282E9
191.0,148.0,1.699332965288E9
192.0,148.0,1.699332965296E9
193.0,149.0,1.699332965303E9
194.0,149.0,1.699332965309E9
195.0,149.0,1.699332965318E9
196.0,149.0,1.6993329653240001E9
197.0,149.0,1.69933296533E9
198.0,150.0,1.6993329653370001E9
199.0,150.0,1.699332965345E9
199.0,151.0,1.699332965352E9
200.0,151.0,1.699332965359E9
201.0,151.0,1.699332965365E9
201.0,151.0,1.699332965372E9
202.0,151.0,1.699332965379E9
203.0,152.0,1.699332965387E9
204.0,152.0,1.699332965394E9
204.0,153.0,1.6993329654E9
205.0,153.0,1.699332965408E9
206.0,153.0,1.699332965415E9
207.0,153.0,1.69933296542E9
