x,y,parameter
289.0,442.0,1.699333777382E9
252.0,421.0,1.699333777389E9
215.0,403.0,1.6993337773960001E9
178.0,383.0,1.699333777403E9
141.0,362.0,1.69933377741E9
111.0,343.0,1.699333777417E9
86.0,323.0,1.699333777424E9
69.0,305.0,1.699333777431E9
60.0,289.0,1.699333777438E9
55.0,272.0,1.699333777446E9
55.0,251.0,1.6993337774520001E9
59.0,221.0,1.699333777459E9
68.0,189.0,1.699333777467E9
87.0,147.0,1.699333777473E9
109.0,107.0,1.69933377748E9
134.0,69.0,1.6993337774880002E9
159.0,41.0,1.699333777494E9
185.0,19.0,1.699333777502E9
209.0,5.0,1.6993337775080001E9
234.0,-5.0,1.6993337775180001E9
257.0,-8.0,1.699333777522E9
280.0,-5.0,1.69933377753E9
302.0,2.0,1.699333777537E9
319.0,16.0,1.6993337775440001E9
336.0,34.0,1.69933377755E9
349.0,53.0,1.699333777557E9
357.0,71.0,1.699333777565E9
361.0,83.0,1.699333777571E9
362.0,95.0,1.69933377758E9
361.0,106.0,1.699333777585E9
357.0,118.0,1.699333777594E9
351.0,131.0,1.6993337776000001E9
342.0,144.0,1.699333777608E9
331.0,156.0,1.6993337776130002E9
318.0,173.0,1.6993337776200001E9
305.0,186.0,1.699333777629E9
290.0,199.0,1.699333777635E9
279.0,207.0,1.6993337776430001E9
267.0,215.0,1.699333777649E9
259.0,219.0,1.6993337776560001E9
251.0,222.0,1.699333777663E9
245.0,223.0,1.69933377767E9
242.0,223.0,1.699333777678E9
241.0,223.0,1.699333777684E9
239.0,222.0,1.699333777691E9
239.0,221.0,1.699333777698E9
238.0,220.0,1.699333777705E9
237.0,217.0,1.699333777713E9
237.0,213.0,1.699333777719E9
237.0,207.0,1.699333777727E9
239.0,196.0,1.699333777733E9
242.0,185.0,1.699333777741E9
244.0,181.0,1.6993337777480001E9
245.0,178.0,1.699333777754E9
245.0,177.0,1.699333777761E9
246.0,177.0,1.6993337777680001E9
247.0,177.0,1.699333777775E9
248.0,176.0,1.699333777818E9
251.0,174.0,1.6993337778240001E9
255.0,171.0,1.699333777831E9
262.0,167.0,1.699333777838E9
269.0,162.0,1.699333777845E9
273.0,159.0,1.699333777852E9
276.0,157.0,1.699333777859E9
278.0,156.0,1.699333777867E9
279.0,156.0,1.69933377788E9
279.0,156.0,1.699333777887E9
280.0,156.0,1.699333777901E9
280.0,157.0,1.699333777908E9
280.0,161.0,1.699333777915E9
280.0,171.0,1.699333777922E9
279.0,180.0,1.699333777928E9
278.0,183.0,1.699333777951E9
