x,y,parameter
92.0,170.0,1.699934174727E9
94.0,177.0,1.6999341747350001E9
95.0,185.0,1.699934174741E9
96.0,193.0,1.6999341747480001E9
97.0,203.0,1.699934174754E9
97.0,213.0,1.699934174761E9
98.0,224.0,1.699934174769E9
98.0,235.0,1.699934174776E9
99.0,244.0,1.699934174782E9
100.0,252.0,1.69993417479E9
100.0,260.0,1.699934174797E9
101.0,266.0,1.6999341748040001E9
102.0,271.0,1.699934174811E9
102.0,277.0,1.699934174818E9
103.0,281.0,1.6999341748240001E9
103.0,284.0,1.699934174831E9
103.0,287.0,1.699934174839E9
103.0,290.0,1.699934174846E9
105.0,293.0,1.699934174852E9
105.0,297.0,1.6999341748600001E9
105.0,299.0,1.699934174866E9
107.0,305.0,1.699934174874E9
108.0,309.0,1.69993417488E9
110.0,315.0,1.699934174888E9
112.0,322.0,1.699934174895E9
114.0,327.0,1.699934174902E9
117.0,335.0,1.699934174909E9
119.0,341.0,1.6999341749160001E9
121.0,347.0,1.699934174923E9
125.0,352.0,1.6999341749290001E9
127.0,357.0,1.699934174936E9
128.0,360.0,1.699934174944E9
130.0,365.0,1.699934174951E9
131.0,369.0,1.699934174958E9
133.0,373.0,1.6999341749650002E9
135.0,377.0,1.6999341749720001E9
137.0,381.0,1.699934174978E9
139.0,384.0,1.699934174986E9
141.0,388.0,1.699934174993E9
143.0,391.0,1.699934175E9
146.0,395.0,1.699934175007E9
149.0,399.0,1.699934175014E9
151.0,402.0,1.6999341750210001E9
154.0,404.0,1.699934175027E9
156.0,406.0,1.699934175034E9
158.0,407.0,1.699934175042E9
159.0,409.0,1.699934175049E9
161.0,409.0,1.699934175056E9
163.0,410.0,1.699934175062E9
164.0,411.0,1.699934175069E9
165.0,411.0,1.699934175076E9
166.0,411.0,1.699934175091E9
167.0,411.0,1.699934175098E9
168.0,411.0,1.699934175104E9
169.0,411.0,1.699934175111E9
170.0,410.0,1.699934175118E9
172.0,408.0,1.699934175125E9
173.0,407.0,1.6999341751330001E9
175.0,403.0,1.699934175138E9
177.0,401.0,1.699934175147E9
179.0,397.0,1.699934175153E9
181.0,391.0,1.699934175161E9
183.0,384.0,1.699934175168E9
185.0,375.0,1.699934175175E9
189.0,362.0,1.699934175182E9
191.0,347.0,1.699934175188E9
192.0,334.0,1.699934175196E9
194.0,321.0,1.6999341752020001E9
196.0,311.0,1.699934175209E9
199.0,301.0,1.699934175216E9
199.0,295.0,1.699934175224E9
201.0,287.0,1.69993417523E9
203.0,279.0,1.699934175237E9
207.0,271.0,1.699934175243E9
209.0,263.0,1.699934175251E9
212.0,254.0,1.6999341752580001E9
215.0,244.0,1.699934175264E9
217.0,236.0,1.699934175272E9
220.0,229.0,1.699934175278E9
223.0,221.0,1.699934175286E9
226.0,215.0,1.699934175292E9
228.0,210.0,1.6999341753E9
229.0,208.0,1.699934175306E9
231.0,205.0,1.6999341753140001E9
233.0,203.0,1.69993417532E9
235.0,202.0,1.6999341753270001E9
236.0,200.0,1.699934175333E9
238.0,199.0,1.699934175341E9
239.0,199.0,1.699934175348E9
241.0,199.0,1.699934175355E9
243.0,199.0,1.699934175361E9
245.0,199.0,1.699934175369E9
247.0,200.0,1.699934175376E9
248.0,201.0,1.6999341753830001E9
249.0,201.0,1.699934175391E9
251.0,202.0,1.699934175398E9
252.0,203.0,1.699934175404E9
253.0,203.0,1.699934175412E9
254.0,205.0,1.699934175418E9
255.0,205.0,1.699934175426E9
257.0,207.0,1.699934175433E9
259.0,209.0,1.69993417544E9
260.0,212.0,1.699934175447E9
262.0,217.0,1.699934175454E9
264.0,221.0,1.699934175461E9
265.0,225.0,1.699934175468E9
267.0,231.0,1.6999341754750001E9
269.0,237.0,1.699934175482E9
271.0,243.0,1.6999341754880002E9
271.0,247.0,1.6999341754950001E9
273.0,251.0,1.699934175502E9
274.0,256.0,1.699934175509E9
275.0,261.0,1.699934175516E9
277.0,269.0,1.699934175523E9
279.0,275.0,1.6999341755310001E9
280.0,284.0,1.699934175537E9
282.0,292.0,1.6999341755440001E9
284.0,300.0,1.699934175551E9
