x,y,parameter
265.0,554.0,1.699936897911E9
265.0,553.0,1.699936897963E9
265.0,553.0,1.699936898007E9
265.0,551.0,1.699936898013E9
265.0,550.0,1.69993689802E9
265.0,549.0,1.699936898028E9
265.0,546.0,1.699936898035E9
265.0,544.0,1.699936898042E9
266.0,540.0,1.699936898049E9
267.0,537.0,1.699936898055E9
268.0,535.0,1.6999368980640001E9
269.0,530.0,1.69993689807E9
269.0,529.0,1.6999368980770001E9
270.0,525.0,1.699936898084E9
270.0,524.0,1.699936898092E9
271.0,521.0,1.699936898099E9
271.0,520.0,1.699936898105E9
273.0,519.0,1.6999368981130002E9
273.0,517.0,1.699936898121E9
274.0,516.0,1.699936898128E9
275.0,515.0,1.699936898135E9
275.0,514.0,1.699936898141E9
276.0,513.0,1.699936898149E9
278.0,511.0,1.6999368981560001E9
281.0,509.0,1.699936898163E9
283.0,507.0,1.699936898172E9
285.0,503.0,1.699936898178E9
289.0,501.0,1.699936898185E9
291.0,497.0,1.6999368981920002E9
293.0,494.0,1.6999368981990001E9
297.0,490.0,1.699936898206E9
299.0,488.0,1.699936898213E9
301.0,484.0,1.699936898221E9
305.0,481.0,1.699936898227E9
305.0,480.0,1.699936898234E9
307.0,477.0,1.699936898241E9
309.0,476.0,1.699936898249E9
310.0,475.0,1.699936898255E9
313.0,472.0,1.699936898266E9
315.0,470.0,1.6999368982710001E9
317.0,469.0,1.699936898278E9
318.0,467.0,1.699936898285E9
321.0,466.0,1.699936898292E9
323.0,465.0,1.699936898299E9
325.0,464.0,1.699936898306E9
327.0,463.0,1.6999368983140001E9
329.0,462.0,1.699936898321E9
330.0,462.0,1.699936898329E9
331.0,461.0,1.699936898335E9
332.0,461.0,1.699936898343E9
333.0,461.0,1.6999368983500001E9
335.0,460.0,1.699936898357E9
337.0,459.0,1.699936898365E9
338.0,459.0,1.699936898371E9
339.0,459.0,1.699936898379E9
341.0,458.0,1.699936898386E9
342.0,458.0,1.6999368983930001E9
343.0,458.0,1.6999368984E9
344.0,458.0,1.699936898405E9
345.0,457.0,1.6999368984160001E9
347.0,457.0,1.69993689842E9
349.0,457.0,1.699936898428E9
351.0,455.0,1.699936898436E9
352.0,455.0,1.699936898443E9
353.0,455.0,1.6999368984520001E9
356.0,455.0,1.699936898456E9
359.0,455.0,1.699936898464E9
361.0,455.0,1.699936898469E9
364.0,456.0,1.699936898476E9
366.0,456.0,1.699936898484E9
368.0,457.0,1.699936898491E9
370.0,457.0,1.699936898499E9
373.0,458.0,1.699936898506E9
374.0,458.0,1.699936898514E9
375.0,459.0,1.6999368985210001E9
377.0,459.0,1.699936898528E9
379.0,460.0,1.699936898536E9
380.0,461.0,1.6999368985440001E9
381.0,463.0,1.69993689855E9
385.0,464.0,1.699936898561E9
386.0,465.0,1.6999368985640001E9
387.0,467.0,1.69993689857E9
389.0,467.0,1.699936898579E9
390.0,469.0,1.6999368985870001E9
393.0,471.0,1.699936898593E9
394.0,473.0,1.699936898601E9
395.0,475.0,1.699936898607E9
398.0,477.0,1.699936898615E9
401.0,480.0,1.699936898621E9
403.0,482.0,1.699936898629E9
406.0,483.0,1.699936898637E9
410.0,487.0,1.6999368986430001E9
411.0,489.0,1.699936898651E9
416.0,491.0,1.6999368986560001E9
418.0,493.0,1.699936898664E9
421.0,495.0,1.699936898672E9
426.0,497.0,1.6999368986790001E9
428.0,499.0,1.699936898686E9
431.0,499.0,1.699936898693E9
433.0,500.0,1.699936898701E9
435.0,501.0,1.699936898706E9
437.0,502.0,1.6999368987150002E9
441.0,504.0,1.6999368987220001E9
443.0,505.0,1.699936898729E9
447.0,505.0,1.699936898736E9
451.0,506.0,1.699936898744E9
454.0,507.0,1.699936898749E9
458.0,507.0,1.699936898757E9
461.0,507.0,1.699936898766E9
465.0,507.0,1.699936898772E9
468.0,507.0,1.69993689878E9
473.0,507.0,1.699936898787E9
475.0,507.0,1.6999368987940001E9
477.0,507.0,1.6999368988E9
481.0,507.0,1.699936898807E9
483.0,506.0,1.6999368988140001E9
486.0,505.0,1.699936898822E9
489.0,505.0,1.699936898829E9
493.0,503.0,1.699936898836E9
498.0,501.0,1.699936898844E9
501.0,499.0,1.699936898852E9
507.0,497.0,1.699936898858E9
511.0,495.0,1.699936898865E9
517.0,491.0,1.699936898872E9
521.0,488.0,1.699936898881E9
526.0,485.0,1.69993689889E9
531.0,481.0,1.699936898894E9
534.0,480.0,1.6999368989E9
537.0,477.0,1.699936898907E9
540.0,474.0,1.699936898915E9
545.0,470.0,1.699936898922E9
549.0,465.0,1.6999368989290001E9
552.0,463.0,1.699936898938E9
555.0,460.0,1.699936898944E9
558.0,457.0,1.699936898951E9
562.0,454.0,1.699936898958E9
564.0,451.0,1.6999368989650002E9
567.0,449.0,1.699936898971E9
571.0,445.0,1.69993689898E9
573.0,442.0,1.699936898986E9
577.0,437.0,1.699936898994E9
579.0,434.0,1.699936899001E9
581.0,433.0,1.699936899007E9
583.0,428.0,1.699936899016E9
583.0,427.0,1.6999368990210001E9
585.0,425.0,1.699936899028E9
587.0,423.0,1.699936899037E9
588.0,419.0,1.6999368990440001E9
590.0,418.0,1.699936899051E9
