x,y,parameter
24.0,430.0,1.699940824928E9
24.0,429.0,1.699940824945E9
24.0,426.0,1.699940824961E9
24.0,423.0,1.699940824978E9
24.0,419.0,1.6999408249950001E9
24.0,417.0,1.699940825011E9
24.0,414.0,1.699940825028E9
24.0,412.0,1.699940825045E9
24.0,410.0,1.699940825061E9
24.0,407.0,1.699940825078E9
26.0,404.0,1.699940825095E9
28.0,401.0,1.699940825111E9
30.0,399.0,1.699940825128E9
32.0,397.0,1.699940825145E9
33.0,395.0,1.699940825161E9
34.0,393.0,1.699940825178E9
36.0,391.0,1.699940825195E9
38.0,390.0,1.699940825211E9
40.0,388.0,1.699940825228E9
42.0,386.0,1.6999408252450001E9
44.0,384.0,1.699940825262E9
47.0,383.0,1.699940825278E9
49.0,381.0,1.699940825295E9
52.0,378.0,1.699940825311E9
55.0,376.0,1.699940825328E9
57.0,374.0,1.699940825345E9
60.0,372.0,1.699940825361E9
64.0,370.0,1.699940825378E9
68.0,367.0,1.699940825395E9
72.0,365.0,1.699940825411E9
76.0,363.0,1.699940825428E9
79.0,361.0,1.699940825445E9
83.0,358.0,1.699940825461E9
88.0,356.0,1.699940825477E9
93.0,354.0,1.6999408254950001E9
98.0,352.0,1.699940825512E9
103.0,351.0,1.699940825528E9
108.0,350.0,1.699940825545E9
113.0,349.0,1.699940825561E9
117.0,349.0,1.699940825578E9
121.0,348.0,1.699940825595E9
126.0,348.0,1.699940825611E9
131.0,348.0,1.699940825628E9
136.0,348.0,1.699940825645E9
141.0,349.0,1.699940825661E9
145.0,349.0,1.6999408256790001E9
149.0,350.0,1.699940825695E9
152.0,352.0,1.699940825711E9
155.0,354.0,1.699940825728E9
158.0,356.0,1.6999408257450001E9
161.0,358.0,1.699940825761E9
163.0,360.0,1.699940825778E9
166.0,362.0,1.699940825795E9
168.0,364.0,1.699940825812E9
170.0,365.0,1.699940825828E9
171.0,367.0,1.699940825845E9
173.0,369.0,1.699940825862E9
175.0,371.0,1.699940825878E9
178.0,373.0,1.699940825895E9
181.0,375.0,1.699940825911E9
183.0,377.0,1.699940825928E9
185.0,379.0,1.699940825945E9
187.0,381.0,1.699940825961E9
188.0,382.0,1.699940825978E9
189.0,384.0,1.699940825994E9
191.0,386.0,1.699940826012E9
192.0,388.0,1.699940826028E9
194.0,390.0,1.699940826045E9
195.0,392.0,1.699940826061E9
196.0,394.0,1.699940826078E9
198.0,397.0,1.699940826095E9
199.0,399.0,1.699940826112E9
201.0,402.0,1.699940826128E9
203.0,405.0,1.699940826145E9
206.0,408.0,1.699940826162E9
208.0,412.0,1.699940826178E9
212.0,416.0,1.699940826195E9
215.0,420.0,1.6999408262120001E9
218.0,424.0,1.699940826228E9
221.0,427.0,1.6999408262450001E9
223.0,430.0,1.699940826261E9
225.0,433.0,1.699940826278E9
227.0,435.0,1.699940826295E9
230.0,437.0,1.699940826316E9
232.0,439.0,1.699940826328E9
233.0,441.0,1.699940826345E9
235.0,443.0,1.699940826361E9
237.0,444.0,1.699940826378E9
239.0,446.0,1.699940826395E9
241.0,447.0,1.699940826413E9
244.0,449.0,1.699940826428E9
248.0,451.0,1.699940826445E9
251.0,452.0,1.699940826461E9
255.0,454.0,1.699940826478E9
259.0,455.0,1.6999408264950001E9
262.0,456.0,1.699940826511E9
266.0,458.0,1.699940826528E9
269.0,459.0,1.699940826545E9
271.0,460.0,1.699940826561E9
274.0,460.0,1.699940826578E9
276.0,461.0,1.699940826595E9
279.0,461.0,1.699940826611E9
283.0,461.0,1.699940826628E9
286.0,461.0,1.699940826645E9
289.0,461.0,1.699940826661E9
292.0,461.0,1.699940826678E9
295.0,461.0,1.699940826695E9
298.0,461.0,1.6999408267120001E9
301.0,461.0,1.699940826728E9
304.0,460.0,1.6999408267450001E9
307.0,460.0,1.699940826762E9
310.0,459.0,1.699940826778E9
314.0,458.0,1.699940826795E9
316.0,457.0,1.699940826812E9
319.0,455.0,1.699940826828E9
321.0,454.0,1.699940826844E9
323.0,453.0,1.699940826861E9
325.0,452.0,1.699940826878E9
326.0,451.0,1.699940826895E9
328.0,450.0,1.699940826912E9
329.0,448.0,1.699940826928E9
331.0,446.0,1.699940826945E9
333.0,444.0,1.699940826961E9
334.0,443.0,1.699940826978E9
336.0,441.0,1.6999408269950001E9
338.0,440.0,1.699940827011E9
340.0,438.0,1.699940827028E9
341.0,437.0,1.699940827045E9
343.0,436.0,1.699940827061E9
344.0,435.0,1.699940827078E9
345.0,434.0,1.699940827095E9
347.0,432.0,1.699940827111E9
348.0,431.0,1.699940827128E9
349.0,430.0,1.699940827145E9
350.0,428.0,1.699940827161E9
351.0,427.0,1.699940827178E9
352.0,426.0,1.699940827195E9
353.0,424.0,1.699940827211E9
355.0,421.0,1.699940827228E9
356.0,419.0,1.6999408272450001E9
358.0,416.0,1.699940827262E9
360.0,414.0,1.699940827278E9
361.0,411.0,1.6999408272940001E9
364.0,407.0,1.699940827311E9
367.0,402.0,1.699940827328E9
370.0,398.0,1.699940827345E9
372.0,395.0,1.699940827361E9
374.0,392.0,1.699940827378E9
375.0,390.0,1.699940827395E9
377.0,388.0,1.699940827412E9
379.0,386.0,1.699940827428E9
381.0,383.0,1.699940827445E9
384.0,380.0,1.6999408274620001E9
387.0,376.0,1.699940827478E9
389.0,374.0,1.6999408274950001E9
392.0,370.0,1.699940827511E9
395.0,367.0,1.699940827528E9
399.0,364.0,1.699940827545E9
403.0,360.0,1.699940827561E9
407.0,357.0,1.699940827578E9
410.0,354.0,1.699940827595E9
414.0,352.0,1.699940827612E9
418.0,351.0,1.699940827628E9
422.0,349.0,1.699940827645E9
425.0,348.0,1.699940827661E9
429.0,347.0,1.699940827678E9
432.0,346.0,1.699940827695E9
435.0,346.0,1.6999408277120001E9
439.0,346.0,1.699940827728E9
442.0,346.0,1.6999408277450001E9
445.0,346.0,1.699940827761E9
449.0,346.0,1.699940827778E9
452.0,346.0,1.699940827795E9
456.0,347.0,1.699940827811E9
459.0,349.0,1.699940827828E9
462.0,350.0,1.699940827845E9
465.0,352.0,1.699940827862E9
467.0,354.0,1.699940827878E9
469.0,356.0,1.699940827895E9
471.0,358.0,1.699940827912E9
473.0,361.0,1.699940827928E9
476.0,364.0,1.699940827945E9
478.0,366.0,1.6999408279620001E9
480.0,369.0,1.699940827978E9
482.0,372.0,1.6999408279950001E9
484.0,375.0,1.699940828011E9
486.0,378.0,1.699940828028E9
489.0,381.0,1.699940828045E9
491.0,385.0,1.699940828061E9
493.0,388.0,1.699940828078E9
496.0,391.0,1.699940828095E9
498.0,394.0,1.699940828111E9
500.0,396.0,1.699940828128E9
502.0,398.0,1.699940828145E9
504.0,401.0,1.699940828162E9
506.0,403.0,1.699940828178E9
508.0,405.0,1.699940828194E9
510.0,408.0,1.699940828211E9
512.0,410.0,1.699940828228E9
515.0,413.0,1.6999408282450001E9
518.0,415.0,1.699940828262E9
521.0,418.0,1.699940828278E9
524.0,420.0,1.699940828295E9
526.0,421.0,1.69994082831E9
529.0,423.0,1.699940828328E9
531.0,424.0,1.699940828345E9
533.0,424.0,1.699940828361E9
536.0,424.0,1.699940828378E9
538.0,424.0,1.699940828395E9
541.0,424.0,1.699940828412E9
544.0,424.0,1.699940828428E9
548.0,422.0,1.699940828445E9
552.0,420.0,1.699940828461E9
557.0,418.0,1.699940828478E9
561.0,415.0,1.6999408284950001E9
566.0,412.0,1.699940828512E9
572.0,409.0,1.699940828528E9
577.0,405.0,1.699940828545E9
582.0,400.0,1.69994082856E9
586.0,396.0,1.699940828578E9
590.0,391.0,1.699940828595E9
594.0,386.0,1.699940828614E9
599.0,379.0,1.699940828627E9
605.0,371.0,1.699940828645E9
610.0,363.0,1.699940828661E9
615.0,356.0,1.699940828678E9
619.0,348.0,1.699940828695E9
622.0,342.0,1.6999408287120001E9
625.0,336.0,1.699940828728E9
628.0,331.0,1.6999408287450001E9
631.0,325.0,1.699940828761E9
633.0,320.0,1.699940828778E9
635.0,315.0,1.6999408287940001E9
637.0,311.0,1.699940828811E9
639.0,307.0,1.699940828828E9
641.0,303.0,1.699940828845E9
643.0,300.0,1.699940828862E9
644.0,298.0,1.699940828878E9
645.0,296.0,1.699940828895E9
646.0,296.0,1.699940828912E9
