x,y,parameter
108.0,434.0,1.699940831914E9
108.0,434.0,1.699940832095E9
112.0,426.0,1.699940832111E9
125.0,404.0,1.699940832128E9
144.0,374.0,1.699940832144E9
162.0,348.0,1.699940832161E9
172.0,332.0,1.699940832178E9
180.0,322.0,1.699940832195E9
185.0,317.0,1.6999408322120001E9
190.0,316.0,1.699940832228E9
198.0,319.0,1.6999408322450001E9
214.0,331.0,1.699940832262E9
240.0,355.0,1.699940832278E9
276.0,390.0,1.699940832295E9
310.0,422.0,1.699940832312E9
340.0,449.0,1.699940832328E9
363.0,467.0,1.699940832345E9
380.0,475.0,1.699940832362E9
394.0,480.0,1.699940832378E9
405.0,474.0,1.699940832395E9
418.0,455.0,1.699940832411E9
435.0,421.0,1.699940832428E9
455.0,374.0,1.699940832445E9
476.0,323.0,1.6999408324620001E9
491.0,289.0,1.699940832478E9
499.0,271.0,1.6999408324950001E9
505.0,261.0,1.699940832512E9
509.0,258.0,1.699940832528E9
515.0,263.0,1.699940832545E9
527.0,282.0,1.699940832561E9
541.0,308.0,1.699940832578E9
559.0,340.0,1.699940832594E9
578.0,372.0,1.699940832611E9
590.0,392.0,1.699940832628E9
600.0,402.0,1.699940832645E9
606.0,408.0,1.699940832661E9
611.0,409.0,1.699940832677E9
619.0,402.0,1.699940832694E9
634.0,375.0,1.6999408327120001E9
659.0,314.0,1.699940832728E9
686.0,246.0,1.6999408327450001E9
708.0,198.0,1.699940832762E9
725.0,168.0,1.699940832778E9
734.0,153.0,1.699940832795E9
739.0,146.0,1.699940832811E9
740.0,143.0,1.699940832828E9
741.0,143.0,1.699940832845E9
