x,y,parameter
41.0,490.0,1.69933361542E9
41.0,490.0,1.699333615438E9
41.0,490.0,1.699333615507E9
41.0,490.0,1.699333615519E9
41.0,489.0,1.699333615536E9
41.0,489.0,1.699333615552E9
41.0,489.0,1.699333615568E9
41.0,488.0,1.699333615586E9
41.0,488.0,1.699333615687E9
41.0,488.0,1.699333615704E9
41.0,487.0,1.699333615721E9
41.0,486.0,1.699333615737E9
41.0,485.0,1.699333615753E9
41.0,485.0,1.69933361577E9
41.0,485.0,1.699333616103E9
41.0,484.0,1.6993336161200001E9
41.0,484.0,1.699333616137E9
41.0,483.0,1.699333616153E9
41.0,483.0,1.6993336161690001E9
41.0,483.0,1.699333616219E9
41.0,483.0,1.6993336162350001E9
41.0,482.0,1.699333616252E9
41.0,482.0,1.6993336162680001E9
41.0,481.0,1.699333616286E9
41.0,481.0,1.699333616302E9
41.0,480.0,1.69933361632E9
41.0,480.0,1.699333616336E9
41.0,480.0,1.699333616352E9
41.0,480.0,1.699333616369E9
41.0,480.0,1.699333616403E9
41.0,479.0,1.6993336164190001E9
41.0,479.0,1.699333616474E9
41.0,479.0,1.699333616486E9
42.0,478.0,1.699333616502E9
42.0,477.0,1.699333616519E9
42.0,477.0,1.699333616536E9
42.0,476.0,1.699333616553E9
42.0,476.0,1.699333616603E9
42.0,476.0,1.6993336166200001E9
42.0,476.0,1.699333616708E9
42.0,475.0,1.699333616719E9
42.0,475.0,1.6993336167350001E9
42.0,475.0,1.699333616752E9
43.0,474.0,1.699333616773E9
43.0,474.0,1.699333616786E9
43.0,473.0,1.699333616803E9
43.0,473.0,1.699333616989E9
43.0,473.0,1.699333617003E9
44.0,472.0,1.69933361702E9
44.0,472.0,1.699333617036E9
45.0,472.0,1.699333617052E9
45.0,472.0,1.69933361707E9
45.0,472.0,1.699333617204E9
45.0,472.0,1.69933361722E9
45.0,472.0,1.699333617236E9
46.0,472.0,1.699333617254E9
46.0,472.0,1.699333617269E9
46.0,472.0,1.699333617289E9
46.0,472.0,1.699333617353E9
46.0,472.0,1.6993336173700001E9
47.0,471.0,1.699333617387E9
48.0,471.0,1.699333617402E9
49.0,471.0,1.6993336174190001E9
50.0,471.0,1.699333617435E9
50.0,471.0,1.6993336174520001E9
50.0,471.0,1.699333617538E9
50.0,471.0,1.699333617553E9
50.0,471.0,1.699333617605E9
51.0,471.0,1.6993336176200001E9
51.0,471.0,1.699333617637E9
51.0,472.0,1.699333617653E9
51.0,472.0,1.6993336176690001E9
52.0,472.0,1.699333617685E9
52.0,472.0,1.699333617704E9
52.0,472.0,1.699333617754E9
52.0,472.0,1.699333617788E9
52.0,473.0,1.69933361782E9
52.0,473.0,1.699333617836E9
52.0,473.0,1.699333617853E9
52.0,474.0,1.699333617869E9
52.0,474.0,1.699333617886E9
53.0,475.0,1.699333617903E9
53.0,475.0,1.699333617936E9
53.0,475.0,1.6993336179520001E9
53.0,475.0,1.699333618188E9
53.0,475.0,1.699333618203E9
53.0,476.0,1.699333618221E9
53.0,477.0,1.6993336182350001E9
54.0,478.0,1.699333618253E9
54.0,479.0,1.699333618269E9
55.0,479.0,1.699333618287E9
55.0,479.0,1.699333618371E9
55.0,479.0,1.699333618386E9
55.0,479.0,1.699333618471E9
55.0,479.0,1.699333618486E9
55.0,479.0,1.699333618502E9
56.0,480.0,1.699333618519E9
57.0,480.0,1.699333618539E9
57.0,480.0,1.699333618553E9
58.0,481.0,1.69933361857E9
58.0,481.0,1.699333618586E9
58.0,481.0,1.699333618602E9
58.0,481.0,1.699333618619E9
58.0,481.0,1.699333618637E9
59.0,481.0,1.699333618673E9
59.0,481.0,1.699333618686E9
60.0,481.0,1.6993336187020001E9
61.0,482.0,1.699333618719E9
62.0,482.0,1.6993336187380002E9
63.0,482.0,1.699333618752E9
63.0,482.0,1.699333618769E9
64.0,482.0,1.699333618786E9
64.0,482.0,1.699333618971E9
64.0,482.0,1.699333618986E9
65.0,481.0,1.699333619002E9
66.0,480.0,1.699333619019E9
68.0,479.0,1.699333619036E9
69.0,478.0,1.699333619053E9
69.0,477.0,1.699333619069E9
69.0,477.0,1.699333619085E9
70.0,477.0,1.699333619102E9
70.0,477.0,1.6993336191200001E9
70.0,476.0,1.699333619136E9
70.0,476.0,1.699333619154E9
70.0,476.0,1.699333619171E9
70.0,476.0,1.6993336191890001E9
70.0,475.0,1.6993336192020001E9
70.0,474.0,1.699333619219E9
70.0,473.0,1.6993336192350001E9
70.0,471.0,1.699333619252E9
70.0,470.0,1.699333619269E9
70.0,469.0,1.699333619285E9
71.0,468.0,1.699333619302E9
71.0,467.0,1.69933361932E9
71.0,465.0,1.699333619336E9
71.0,464.0,1.699333619352E9
72.0,463.0,1.699333619371E9
72.0,462.0,1.699333619386E9
72.0,462.0,1.699333619403E9
72.0,462.0,1.6993336194190001E9
72.0,462.0,1.699333619435E9
72.0,462.0,1.699333619453E9
72.0,461.0,1.6993336194720001E9
72.0,461.0,1.699333619486E9
72.0,461.0,1.699333619502E9
72.0,460.0,1.699333619519E9
73.0,459.0,1.699333619535E9
73.0,459.0,1.699333619552E9
73.0,458.0,1.699333619568E9
73.0,459.0,1.699333619619E9
73.0,459.0,1.699333619635E9
