x,y,parameter
190.0,428.0,1.699330911857E9
190.0,428.0,1.699330911874E9
191.0,428.0,1.69933091189E9
194.0,429.0,1.6993309119060001E9
203.0,430.0,1.699330911921E9
215.0,433.0,1.699330911938E9
226.0,437.0,1.699330911955E9
234.0,440.0,1.6993309119720001E9
238.0,441.0,1.699330911989E9
240.0,442.0,1.699330912005E9
240.0,442.0,1.699330912023E9
240.0,442.0,1.699330912243E9
240.0,442.0,1.699330912256E9
240.0,442.0,1.699330912272E9
237.0,441.0,1.69933091229E9
232.0,439.0,1.699330912305E9
226.0,435.0,1.699330912322E9
219.0,428.0,1.699330912339E9
214.0,420.0,1.699330912355E9
213.0,411.0,1.6993309123730001E9
212.0,404.0,1.699330912388E9
213.0,399.0,1.6993309124060001E9
221.0,397.0,1.699330912422E9
236.0,397.0,1.699330912438E9
254.0,404.0,1.699330912455E9
266.0,414.0,1.6993309124720001E9
273.0,424.0,1.69933091249E9
277.0,433.0,1.699330912505E9
275.0,440.0,1.6993309125210001E9
270.0,445.0,1.699330912538E9
262.0,447.0,1.699330912555E9
255.0,446.0,1.699330912571E9
249.0,441.0,1.699330912588E9
245.0,432.0,1.699330912606E9
244.0,421.0,1.699330912622E9
246.0,413.0,1.699330912638E9
254.0,408.0,1.699330912655E9
264.0,406.0,1.699330912671E9
272.0,407.0,1.699330912688E9
278.0,408.0,1.699330912706E9
281.0,411.0,1.6993309127220001E9
282.0,413.0,1.6993309127380002E9
282.0,413.0,1.699330912756E9
281.0,414.0,1.699330912772E9
281.0,414.0,1.699330912789E9
279.0,413.0,1.699330912805E9
277.0,411.0,1.699330912823E9
277.0,409.0,1.699330912838E9
277.0,408.0,1.699330912855E9
279.0,407.0,1.699330912871E9
284.0,407.0,1.699330912888E9
288.0,407.0,1.699330912905E9
291.0,409.0,1.699330912924E9
292.0,409.0,1.699330912938E9
292.0,410.0,1.699330912955E9
292.0,410.0,1.6993309129720001E9
291.0,410.0,1.6993309129880002E9
290.0,409.0,1.699330913005E9
289.0,406.0,1.699330913022E9
290.0,403.0,1.699330913038E9
294.0,399.0,1.699330913055E9
302.0,398.0,1.699330913071E9
308.0,398.0,1.699330913088E9
313.0,398.0,1.699330913105E9
315.0,398.0,1.699330913122E9
315.0,398.0,1.699330913138E9
315.0,397.0,1.699330913155E9
315.0,397.0,1.699330913172E9
315.0,396.0,1.699330913188E9
315.0,394.0,1.699330913205E9
316.0,391.0,1.699330913221E9
318.0,389.0,1.699330913239E9
322.0,386.0,1.699330913256E9
325.0,385.0,1.699330913273E9
327.0,385.0,1.699330913288E9
328.0,385.0,1.699330913305E9
328.0,385.0,1.699330913321E9
328.0,385.0,1.699330913372E9
329.0,384.0,1.699330913389E9
329.0,381.0,1.699330913405E9
332.0,376.0,1.699330913422E9
335.0,371.0,1.699330913441E9
337.0,368.0,1.699330913455E9
340.0,367.0,1.6993309134720001E9
343.0,366.0,1.6993309134880002E9
345.0,366.0,1.699330913505E9
346.0,367.0,1.6993309135210001E9
347.0,367.0,1.699330913538E9
348.0,368.0,1.699330913559E9
348.0,368.0,1.699330913589E9
348.0,367.0,1.699330913605E9
349.0,365.0,1.699330913621E9
349.0,365.0,1.699330913638E9
349.0,364.0,1.6993309136560001E9
349.0,364.0,1.699330913673E9
350.0,364.0,1.699330913688E9
350.0,365.0,1.699330913705E9
351.0,365.0,1.699330913721E9
351.0,366.0,1.6993309137380002E9
351.0,365.0,1.699330913772E9
351.0,364.0,1.699330913788E9
351.0,361.0,1.699330913806E9
352.0,360.0,1.699330913821E9
352.0,359.0,1.699330913838E9
352.0,359.0,1.699330913856E9
352.0,359.0,1.699330913871E9
353.0,360.0,1.699330913888E9
354.0,362.0,1.699330913905E9
355.0,364.0,1.699330913923E9
356.0,365.0,1.699330913938E9
357.0,366.0,1.699330913957E9
357.0,366.0,1.699330913971E9
357.0,366.0,1.699330914005E9
357.0,365.0,1.6993309140210001E9
357.0,364.0,1.699330914038E9
358.0,364.0,1.699330914055E9
358.0,363.0,1.699330914072E9
358.0,363.0,1.699330914089E9
359.0,364.0,1.699330914105E9
360.0,366.0,1.699330914121E9
360.0,367.0,1.699330914139E9
361.0,368.0,1.699330914155E9
361.0,368.0,1.699330914172E9
362.0,368.0,1.699330914188E9
362.0,368.0,1.699330914205E9
362.0,367.0,1.699330914221E9
363.0,365.0,1.6993309142380002E9
364.0,363.0,1.699330914255E9
364.0,363.0,1.699330914272E9
365.0,363.0,1.699330914288E9
365.0,363.0,1.699330914305E9
365.0,363.0,1.699330914323E9
366.0,364.0,1.6993309143370001E9
367.0,365.0,1.699330914354E9
367.0,366.0,1.6993309143700001E9
368.0,366.0,1.699330914387E9
369.0,366.0,1.699330914404E9
369.0,366.0,1.699330914421E9
370.0,366.0,1.699330914438E9
371.0,365.0,1.699330914454E9
372.0,365.0,1.699330914471E9
372.0,365.0,1.699330914491E9
